file,fold_0,fold_1,fold_2,fold_3,fold_4
inference_data/milk10k/MILK10k_Training_Input/IL_0000652/ISIC_8149219.jpg,2,2,2,3,2
inference_data/milk10k/MILK10k_Training_Input/IL_0000652/ISIC_4671410.jpg,1,1,1,2,2
inference_data/milk10k/MILK10k_Training_Input/IL_0003176/ISIC_3904045.jpg,2,2,2,2,2
inference_data/milk10k/MILK10k_Training_Input/IL_0003176/ISIC_5371928.jpg,1,1,1,2,2
inference_data/milk10k/MILK10k_Training_Input/IL_0004688/ISIC_0791494.jpg,2,2,2,2,2
inference_data/milk10k/MILK10k_Training_Input/IL_0004688/ISIC_3624913.jpg,2,2,1,2,2
inference_data/milk10k/MILK10k_Training_Input/IL_0005081/ISIC_5667730.jpg,3,3,3,3,3
inference_data/milk10k/MILK10k_Training_Input/IL_0005081/ISIC_5186409.jpg,2,2,3,3,2
inference_data/milk10k/MILK10k_Training_Input/IL_0006177/ISIC_8803389.jpg,2,2,2,2,2
inference_data/milk10k/MILK10k_Training_Input/IL_0006177/ISIC_1048297.jpg,1,1,1,2,2
inference_data/milk10k/MILK10k_Training_Input/IL_0006407/ISIC_2729538.jpg,3,2,3,3,3
inference_data/milk10k/MILK10k_Training_Input/IL_0006407/ISIC_5107821.jpg,1,1,1,1,2
inference_data/milk10k/MILK10k_Training_Input/IL_0008891/ISIC_1498519.jpg,1,1,1,1,1
inference_data/milk10k/MILK10k_Training_Input/IL_0008891/ISIC_5916190.jpg,1,1,1,1,1
inference_data/milk10k/MILK10k_Training_Input/IL_0008969/ISIC_3209508.jpg,2,2,2,2,2
inference_data/milk10k/MILK10k_Training_Input/IL_0008969/ISIC_9546309.jpg,1,1,1,1,1
inference_data/milk10k/MILK10k_Training_Input/IL_0009339/ISIC_2978483.jpg,3,3,3,3,3
inference_data/milk10k/MILK10k_Training_Input/IL_0009339/ISIC_8325963.jpg,2,2,1,2,2
inference_data/milk10k/MILK10k_Training_Input/IL_0011263/ISIC_9769821.jpg,2,1,1,2,2
inference_data/milk10k/MILK10k_Training_Input/IL_0011263/ISIC_3780652.jpg,2,2,2,2,2
inference_data/milk10k/MILK10k_Training_Input/IL_0012199/ISIC_8947496.jpg,2,2,2,2,2
inference_data/milk10k/MILK10k_Training_Input/IL_0012199/ISIC_7213515.jpg,2,1,1,2,2
inference_data/milk10k/MILK10k_Training_Input/IL_0014412/ISIC_5881121.jpg,4,3,3,4,3
inference_data/milk10k/MILK10k_Training_Input/IL_0014412/ISIC_9803465.jpg,1,1,1,1,1
inference_data/milk10k/MILK10k_Training_Input/IL_0017483/ISIC_9923124.jpg,1,1,1,1,2
inference_data/milk10k/MILK10k_Training_Input/IL_0017483/ISIC_1225678.jpg,1,2,1,1,1
inference_data/milk10k/MILK10k_Training_Input/IL_0019048/ISIC_8438197.jpg,1,1,1,2,1
inference_data/milk10k/MILK10k_Training_Input/IL_0019048/ISIC_6039074.jpg,2,2,2,2,2
inference_data/milk10k/MILK10k_Training_Input/IL_0019655/ISIC_1660154.jpg,2,2,2,2,3
inference_data/milk10k/MILK10k_Training_Input/IL_0019655/ISIC_2641217.jpg,1,2,1,2,2
inference_data/milk10k/MILK10k_Training_Input/IL_0020208/ISIC_0652620.jpg,3,2,3,3,2
inference_data/milk10k/MILK10k_Training_Input/IL_0020208/ISIC_8615296.jpg,1,1,1,1,1
inference_data/milk10k/MILK10k_Training_Input/IL_0024228/ISIC_8598339.jpg,3,2,3,3,3
inference_data/milk10k/MILK10k_Training_Input/IL_0024228/ISIC_8870441.jpg,2,2,1,2,2
inference_data/milk10k/MILK10k_Training_Input/IL_0026510/ISIC_8431081.jpg,2,2,2,3,2
inference_data/milk10k/MILK10k_Training_Input/IL_0026510/ISIC_2768555.jpg,1,1,1,1,1
inference_data/milk10k/MILK10k_Training_Input/IL_0029019/ISIC_0402893.jpg,2,2,2,2,2
inference_data/milk10k/MILK10k_Training_Input/IL_0029019/ISIC_5203599.jpg,1,1,1,1,1
inference_data/milk10k/MILK10k_Training_Input/IL_0030541/ISIC_2944762.jpg,2,2,2,2,2
inference_data/milk10k/MILK10k_Training_Input/IL_0030541/ISIC_1347581.jpg,2,2,1,2,2
inference_data/milk10k/MILK10k_Training_Input/IL_0032270/ISIC_5462275.jpg,2,2,2,2,2
inference_data/milk10k/MILK10k_Training_Input/IL_0032270/ISIC_6993481.jpg,1,1,1,1,1
inference_data/milk10k/MILK10k_Training_Input/IL_0033882/ISIC_1006010.jpg,2,1,2,2,2
inference_data/milk10k/MILK10k_Training_Input/IL_0033882/ISIC_3881896.jpg,1,1,0,1,1
inference_data/milk10k/MILK10k_Training_Input/IL_0039324/ISIC_8429141.jpg,2,2,2,2,2
inference_data/milk10k/MILK10k_Training_Input/IL_0039324/ISIC_1874410.jpg,2,2,1,2,2
inference_data/milk10k/MILK10k_Training_Input/IL_0041758/ISIC_4499437.jpg,3,2,3,3,2
inference_data/milk10k/MILK10k_Training_Input/IL_0041758/ISIC_3704603.jpg,2,2,2,2,2
inference_data/milk10k/MILK10k_Training_Input/IL_0044468/ISIC_5047383.jpg,2,2,2,2,2
inference_data/milk10k/MILK10k_Training_Input/IL_0044468/ISIC_6046943.jpg,1,2,1,1,1
inference_data/milk10k/MILK10k_Training_Input/IL_0047878/ISIC_2308076.jpg,4,3,4,4,3
inference_data/milk10k/MILK10k_Training_Input/IL_0047878/ISIC_0433706.jpg,2,2,1,2,2
inference_data/milk10k/MILK10k_Training_Input/IL_0053198/ISIC_4030094.jpg,1,1,1,1,1
inference_data/milk10k/MILK10k_Training_Input/IL_0053198/ISIC_8463837.jpg,2,2,1,2,2
inference_data/milk10k/MILK10k_Training_Input/IL_0061620/ISIC_7081965.jpg,1,1,1,1,1
inference_data/milk10k/MILK10k_Training_Input/IL_0061620/ISIC_4345756.jpg,2,2,1,2,2
inference_data/milk10k/MILK10k_Training_Input/IL_0063537/ISIC_9191957.jpg,2,2,2,2,2
inference_data/milk10k/MILK10k_Training_Input/IL_0063537/ISIC_8370666.jpg,1,1,1,1,2
inference_data/milk10k/MILK10k_Training_Input/IL_0064763/ISIC_9047853.jpg,2,2,2,3,2
inference_data/milk10k/MILK10k_Training_Input/IL_0064763/ISIC_1230865.jpg,3,2,3,3,3
inference_data/milk10k/MILK10k_Training_Input/IL_0069690/ISIC_3272276.jpg,2,2,2,2,2
inference_data/milk10k/MILK10k_Training_Input/IL_0069690/ISIC_0323748.jpg,2,1,1,2,2
inference_data/milk10k/MILK10k_Training_Input/IL_0074413/ISIC_0447190.jpg,2,2,2,2,2
inference_data/milk10k/MILK10k_Training_Input/IL_0074413/ISIC_4980158.jpg,1,2,2,1,2
