file,L_fold_0,a_fold_0,b_fold_0,L_fold_1,a_fold_1,b_fold_1,L_fold_2,a_fold_2,b_fold_2,L_fold_3,a_fold_3,b_fold_3,L_fold_4,a_fold_4,b_fold_4
inference_data/milk10k/MILK10k_Training_Input/IL_0000652/ISIC_8149219.jpg,46.24208,10.416812,16.96584,46.107433,13.952262,16.2383,50.714592,11.003828,14.7444935,45.561745,9.94809,16.308968,48.036232,10.202483,17.950218
inference_data/milk10k/MILK10k_Training_Input/IL_0000652/ISIC_4671410.jpg,54.11961,11.757983,18.352762,51.747627,11.2788105,20.539146,53.827915,9.368053,18.443419,53.239384,11.7711525,20.070036,51.695797,10.787612,18.93325
inference_data/milk10k/MILK10k_Training_Input/IL_0003176/ISIC_3904045.jpg,48.93807,8.68078,18.58635,54.726547,8.791954,18.54427,50.23719,9.179668,17.616652,49.91812,10.049314,20.334965,51.26098,10.647492,18.731918
inference_data/milk10k/MILK10k_Training_Input/IL_0003176/ISIC_5371928.jpg,63.505684,5.7847834,15.486854,65.33681,6.0496483,12.558617,63.73333,5.2905855,14.264044,63.367023,6.7777085,13.666277,65.59685,6.4381375,13.983823
inference_data/milk10k/MILK10k_Training_Input/IL_0004688/ISIC_0791494.jpg,53.66586,8.887977,21.787388,54.593662,9.139438,21.815102,55.128124,9.6579485,20.954443,55.02982,9.041649,21.616928,54.14247,11.052098,19.381254
inference_data/milk10k/MILK10k_Training_Input/IL_0004688/ISIC_3624913.jpg,56.79986,7.773072,14.977704,59.221745,8.824328,13.18,61.00406,7.951174,13.500069,59.706497,10.370191,15.6179,63.246094,7.7286477,15.51067
inference_data/milk10k/MILK10k_Training_Input/IL_0005081/ISIC_5667730.jpg,46.9603,11.572658,19.814987,49.77095,13.90665,18.21356,48.091984,10.743631,19.97655,48.787388,12.166238,21.017109,47.70497,10.135933,17.854342
inference_data/milk10k/MILK10k_Training_Input/IL_0005081/ISIC_5186409.jpg,55.86038,12.588893,17.428007,54.072098,12.685806,14.399538,51.990955,12.681922,18.188705,52.78447,14.487511,18.114147,54.18987,11.118677,19.48534
inference_data/milk10k/MILK10k_Training_Input/IL_0006177/ISIC_8803389.jpg,46.18414,10.707347,19.235462,48.017963,12.853401,16.457273,47.11918,10.408891,19.905489,48.64252,11.226187,18.876373,47.55548,10.100256,17.782955
inference_data/milk10k/MILK10k_Training_Input/IL_0006177/ISIC_1048297.jpg,61.988674,7.56311,14.14978,62.855755,8.685152,8.614439,63.01583,5.667758,14.130553,61.25153,8.1304865,10.365907,61.961277,8.159416,15.993274
